Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,02703887;7,661761;-0,0264168;7,485489
-0,0318906;7,672118;-0,02923325;7,581516
-0,04447264;7,679161;-0,03858404;7,64143
-0,05033939;7,674797;-0,04579067;7,661886
-0,05686527;7,664197;-0,05147669;7,663073
-0,05948084;7,648953;-0,05558569;7,655824
-0,06289654;7,640751;-0,05933555;7,648093
-0,06406131;7,635065;-0,06175842;7,641414
-0,06214301;7,63961;-0,06195557;7,640489
-0,05770181;7,648113;-0,05977478;7,644398
-0,05161469;7,660771;-0,05559276;7,652789
-0,04369102;7,671531;-0,04949396;7,662393
-0,03471445;7,679941;-0,04191859;7,671388
-0,02606895;7,679814;-0,03379719;7,675705
-0,01897401;7,672934;-0,02620141;7,674285
-0,01317524;7,661841;-0,01952677;7,667909
-0,008853786;7,646754;-0,01405918;7,657072
-0,006913458;7,638587;-0,01039917;7,647604
-0,007964531;7,631217;-0,008909922;7,63758
-0,008958598;7,626242;-0,008934859;7,631772
-0,0119104;7,633131;-0,01045883;7,632468
-0,01667546;7,640205;-0,01364237;7,63643
-0,02199599;7,645899;-0,01792163;7,641281
-0,02775507;7,658283;-0,0239353;7,651679
-0,03887258;7,665526;-0,03158582;7,658771
-0,04446957;7,659549;-0,03818345;7,659169
-0,05074413;7,652558;-0,04461673;7,655783
-0,05400828;7,635176;-0,05036069;7,64318
-0,05510497;7,623293;-0,05326258;7,631016
-0,05516654;7,616288;-0,05423864;7,623466
-0,0535352;7,610702;-0,05387846;7,61693
-0,05108277;7,615871;-0,05244688;7,616388
-0,0465511;7,621973;-0,04942582;7,61925
-0,03179437;7,650556;-0,04039703;7,635281
-0,0205512;7,658571;-0,03023569;7,647206
-0,00908589;7,665028;-0,01940211;7,656335
0,002265119;7,660389;-0,008308365;7,658411
0,008923597;7,65072;0,002231802;7,653707
0,01528002;7,64086;0,008914141;7,647128
0,01845473;7,629444;0,01380077;7,63807
0,01823067;7,621814;0,01606985;7,629744
0,01691799;7,613584;0,01658857;7,61986
0,007855716;7,624009;0,01211548;7,621985
-0,0005440846;7,628328;0,00563533;7,625232
-0,01829745;7,656047;-0,006623327;7,641016
-0,02724062;7,665389;-0,01718276;7,653499
-0,03851557;7,66616;-0,02810601;7,659982
-0,04728176;7,661101;-0,03792968;7,660555
-0,05577197;7,649892;-0,04707445;7,65509
-0,06405157;7,639058;-0,055771;7,646877
-0,06693646;7,635638;-0,06149008;7,64112
-0,0688677;7,628364;-0,06527229;7,634581
-0,07071369;7,640203;-0,06806029;7,637462
-0,06535523;7,649966;-0,06667469;7,643867
-0,06202749;7,668669;-0,06429435;7,656571
-0,05041612;7,684676;-0,05718353;7,670971
-0,04123171;7,690408;-0,04901379;7,680926
-0,02933882;7,694712;-0,03893471;7,687988
-0,02192545;7,687274;-0,03022154;7,687623
-0,01242725;7,67196;-0,02110743;7,6796
-0,007967364;7,655849;-0,01437921;7,667439
-0,004720204;7,644251;-0,009433169;7,655565
-0,00340659;7,642292;-0,006347119;7,648768
-0,003447887;7,628541;-0,004863155;7,638415
-0,005586433;7,639003;-0,0052338;7,638716
-0,01033984;7,64478;-0,007848712;7,641821
-0,01498804;7,654618;-0,01150361;7,648373
-0,02230283;7,671456;-0,01703415;7,660194
-0,02718132;7,670028;-0,022231;7,665231
-0,03653153;7,677554;-0,02955676;7,671544
-0,04432607;7,672959;-0,03712031;7,672268
-0,05078263;7,663155;-0,04411745;7,667601
-0,05705549;7,652713;-0,05074659;7,659973
-0,06011996;7,639164;-0,05554665;7,649317
-0,06168682;7,640646;-0,05869156;7,644876
-0,06295354;7,634711;-0,06087435;7,63967
-0,06235551;7,6444;-0,06163298;7,642093
-0,05583142;7,650401;-0,05866128;7,646348
-0,05004724;7,665564;-0,0542497;7,656189
-0,03737355;7,681117;-0,0456083;7,668953
-0,02790162;7,685717;-0,03653975;7,677539
-0,0163197;7,689938;-0,0261869;7,683887
-0,005712172;7,679958;-0,01569634;7,681874
0,002400083;7,663804;-0,006428923;7,67262
0,008203551;7,650089;0,001068825;7,661075
0,009972833;7,643113;0,005629429;7,651875
0,009426599;7,642937;0,007575499;7,647294
0,007447653;7,634558;0,007510014;7,64077
0,002121765;7,645668;0,004749101;7,64328
-0,01209258;7,663303;-0,003874345;7,653533
-0,02629649;7,674374;-0,01536514;7,664213
-0,03322003;7,676774;-0,02450901;7,670646
-0,0409483;7,67062;-0,03293094;7,670633
-0,04724393;7,657964;-0,04026357;7,664143
-0,05414334;7,645936;-0,04737504;7,654814
-0,05541747;7,634312;-0,05149841;7,644302
-0,05712498;7,629534;-0,05437903;7,636741
-0,05695655;7,618601;-0,05569957;7,627448
-0,05479547;7,62685;-0,0552364;7,627141
-0,05045927;7,631479;-0,05279009;7,629363
-0,04526202;7,646169;-0,04893506;7,637969
-0,0334748;7,659899;-0,04101804;7,649199
-0,02373447;7,668612;-0,03216742;7,65914
-0,0002815015;7,664437;-0,0158336;7,661853
0,006514031;7,6554;-0,004385403;7,658547
0,01321921;7,638758;0,004631214;7,648412
0,01633452;7,630217;0,01062792;7,639089
0,01746401;7,624514;0,01412995;7,631622
0,01683193;7,617163;0,01551374;7,624217
0,01413508;7,627167;0,01480787;7,625728
0,01040865;7,632648;0,01255475;7,629272
0,004602272;7,651377;0,008482846;7,64059
-0,002168998;7,6643;0,003029325;7,65273
-0,009062583;7,67356;-0,003162368;7,663396
-0,01719101;7,681267;-0,0103503;7,672553
-0,02278835;7,674735;-0,01672112;7,67367
-0,03032669;7,668451;-0,02368852;7,670998
-0,03904331;7,655536;-0,03155597;7,663075
-0,0416204;7,639053;-0,03671267;7,650767
-0,04489611;7,629696;-0,04090422;7,639975
-0,04315861;7,623053;-0,04205915;7,631306
-0,04199862;7,631524;-0,04202815;7,631418
-0,03487132;7,642109;-0,03836333;7,636892
-0,02947566;7,659803;-0,03381199;7,648625
-0,01338403;7,681095;-0,02334784;7,665257
-0,003203377;7,690447;-0,01302937;7,67816
0,008945031;7,697498;-0,001772127;7,688067
0,02027017;7,690662;0,009520894;7,689396
0,02893911;7,682972;0,01946709;7,686106
0,03397753;7,666396;0,02690028;7,676009
0,03805292;7,648162;0,03261316;7,661745
0,03878834;7,642129;0,03577603;7,651698
0,03731655;7,632512;0,03656513;7,64187
0,03563842;7,635004;0,03609044;7,638353
0,02227199;7,655609;0,02901358;7,64719
0,01499529;7,67568;0,02183426;7,661781
0,004082271;7,685182;0,01274267;7,673766
-0,00626841;7,694994;0,003002944;7,684641
-0,01653861;7,696228;-0,007008621;7,690577
-0,02737051;7,688064;-0,01744048;7,68929
-0,03623491;7,671297;-0,02707206;7,680068
-0,04204295;7,65202;-0,03474449;7,665694
-0,04476681;7,640615;-0,03987945;7,652844
-0,04703592;7,633834;-0,04354571;7,643106
-0,04526734;7,631061;-0,04442831;7,636931
-0,04012405;7,642807;-0,04222365;7,63994
-0,03332037;7,653507;-0,03766556;7,646886
-0,02592784;7,672946;-0,03165403;7,660233
-0,01434397;7,685419;-0,02278982;7,67313
-0,004667397;7,689987;-0,01350488;7,681767
0,007502798;7,686481;-0,002750346;7,68418
0,01617673;7,672269;0,006943531;7,67808
0,02224693;7,661654;0,01478463;7,669663
0,02670188;7,644391;0,02088871;7,656719
0,02807093;7,641417;0,0245679;7,64888
0,02945613;7,633095;0,02707222;7,640793
0,02866803;7,633154;0,02788963;7,63688
0,02446245;7,643615;0,02613404;7,64033
0,01979302;7,649352;0,02225659;7,645847
0,01300324;7,667797;0,01751793;7,657087
0,006951757;7,671343;0,01210657;7,664388
-0,001243459;7,678696;0,005267375;7,671718
-0,008436303;7,677148;-0,001752709;7,6745
-0,01705213;7,669005;-0,009588823;7,671685
-0,02468869;7,652107;-0,0173294;7,661649
-0,03046554;7,633775;-0,02405725;7,647373
-0,03203193;7,623247;-0,02814303;7,635012
-0,03288683;7,616198;-0,03057306;7,625374
-0,03069271;7,611886;-0,03063436;7,618464
-0,0257791;7,626639;-0,02814626;7,622653
-0,0196141;7,633615;-0,02377894;7,628264
-0,009976869;7,655256;-0,0167091;7,64209
0,002111396;7,666862;-0,007071177;7,654776
0,01245185;7,67157;0,002925867;7,663375
0,02197104;7,670422;0,01267947;7,666984
0,02979367;7,656694;0,02144476;7,661714
0,03360441;7,644827;0,02767234;7,653066
0,03711472;7,624254;0,03250662;7,638315
0,03755069;7,618348;0,03509093;7,628085
0,03661102;7,613992;0,03586931;7,620869
0,03611151;7,603675;0,0359933;7,612067
0,02898016;7,617342;0,03240111;7,614769
0,02159467;7,621912;0,02686849;7,618426
0,01223595;7,636955;0,01937718;7,627912
0,0008123715;7,649812;0,009870172;7,639127
-0,007137452;7,65379;0,001154562;7,646641
-0,01853946;7,656935;-0,008929905;7,651912
-0,02779337;7,647138;-0,01859324;7,649467
-0,03597577;7,629498;-0,02749821;7,639237
-0,04143555;7,614946;-0,03464224;7,626786
-0,04196293;7,604;-0,0383938;7,615109
-0,04118894;7,605195;-0,03982596;7,610029
-0,037687;7,598064;-0,03872974;7,603897
-0,03213737;7,612479;-0,03535363;7,608292
-0,02613067;7,621852;-0,03062988;7,615237
-0,01303903;7,642624;-0,02162048;7,629264
0,0001576422;7,654583;-0,01046429;7,642234
0,01148959;7,657255;0,0007833838;7,64993
0,02238937;7,653837;0,01185618;7,651932
0,03196715;7,638173;0,02216347;7,64488
0,03726137;7,626996;0,02989608;7,63572
0,04129323;7,609061;0,03573431;7,622064
0,04131806;7,606125;0,03859447;7,6139
0,04107416;7,599056;0,03986459;7,606297
0,03830459;7,597678;0,03906553;7,601882
0,0313327;7,60858;0,0351044;7,605313
0,02442519;7,614612;0,02963527;7,610075
0,01551255;7,633204;0,02240385;7,621918
0,007033985;7,639383;0,01453278;7,630862
0,0005063246;7,644672;0,007347266;7,637937
-0,008358954;7,644795;-0,0006996519;7,64145
-0,01659948;7,633925;-0,008844754;7,637596
-0,02397528;7,616773;-0,01659433;7,626931
-0,02756169;7,59992;-0,02221311;7,613092
-0,0287254;7,592803;-0,0255497;7,602697
-0,02826781;7,588552;-0,02694202;7,595451
-0,02642644;7,58636;-0,02667775;7,590791
-0,02177887;7,596681;-0,02416887;7,593807
-0,01594033;7,607025;-0,01995438;7,600577
