Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,08241008;7,669225;-0,08044435;7,48629
-0,08135793;7,669467;-0,08091462;7,580582
-0,07886774;7,665545;-0,07986147;7,624297
-0,07285707;7,648271;-0,07625992;7,636624
-0,0689307;7,638958;-0,0724943;7,637823
-0,06378055;7,630831;-0,06802022;7,634233
-0,05786699;7,626709;-0,06281064;7,630373
-0,05235939;7,626488;-0,05744893;7,628379
-0,04556186;7,630433;-0,05135253;7,629433
-0,04131759;7,635102;-0,04620465;7,632341
-0,03730106;7,64248;-0,04163932;7,63754
-0,03597727;7,652363;-0,03873628;7,64514
-0,03413926;7,659159;-0,03637989;7,652326
-0,03319964;7,663777;-0,03475061;7,658193
-0,03319402;7,665252;-0,03395284;7,661811
-0,03392874;7,663086;-0,03394049;7,662464
-0,03484355;7,658569;-0,03440362;7,660467
-0,03560714;7,651522;-0,0350211;7,655878
-0,0389893;7,641752;-0,03744726;7,647242
-0,04196914;7,63076;-0,03976335;7,6388
-0,04479703;7,622746;-0,04340755;7,627178
-0,04831479;7,619852;-0,04592087;7,623425
-0,05194776;7,620731;-0,04900643;7,622046
-0,05655047;7,6247;-0,05287026;7,623405
-0,06303325;7,641179;-0,05806905;7,632497
-0,06575618;7,652927;-0,06200495;7,642958
-0,06684154;7,669848;-0,06448285;7,656734
-0,06610065;7,673613;-0,06531078;7,665372
-0,06567899;7,673571;-0,06549936;7,669571
-0,06677164;7,671233;-0,06615097;7,670422
-0,0662683;7,666272;-0,06621106;7,668297
-0,06638267;7,656146;-0,06629889;7,662077
-0,0657329;7,645549;-0,06600917;7,653616
-0,06284205;7,635726;-0,06438747;7,644456
-0,05972233;7,629565;-0,0619994;7,636833
-0,05728631;7,628539;-0,05911772;7,631762
-0,05393985;7,631039;-0,05595091;7,63132
-0,04891848;7,6371;-0,05234756;7,634282
-0,04601126;7,644868;-0,04910199;7,639704
-0,04388987;7,652626;-0,04643299;7,646321
-0,04231475;7,659233;-0,04391425;7,654218
-0,03955919;7,668416;-0,04168395;7,661489
-0,03801943;7,670009;-0,03980715;7,665853
-0,03684456;7,669693;-0,03828858;7,667821
-0,03791289;7,662541;-0,03809624;7,665118
-0,04004516;7,653103;-0,03909444;7,658964
-0,04160109;7,642993;-0,04038035;7,650771
-0,04407457;7,634639;-0,04227112;7,642515
-0,04635973;7,629627;-0,04436532;7,635914
-0,04983391;7,628511;-0,0471663;7,632123
-0,05323208;7,630774;-0,05027301;7,631432
-0,05935646;7,644038;-0,05492505;7,637888
-0,06067688;7,654737;-0,05844342;7,648194
-0,05933814;7,6642;-0,05890157;7,65639
-0,05897525;7,67233;-0,05893931;7,664556
-0,05727801;7,676007;-0,05808843;7,670421
-0,05654488;7,67591;-0,05729796;7,673232
-0,05705697;7,673221;-0,05717452;7,673226
-0,0562663;7,666804;-0,05670946;7,669938
-0,05602122;7,661234;-0,05635697;7,66548
-0,05487915;7,650603;-0,05545311;7,656381
-0,05211528;7,643708;-0,05374347;7,64989
-0,05070264;7,642005;-0,05218606;7,645852
-0,04596213;7,643731;-0,04899843;7,644765
-0,04217524;7,64964;-0,04482502;7,647747
-0,03797026;7,664187;-0,04131431;7,656167
