Posicion X;Posicion Y;Posicion X f; Posicion Y f
0,0007328575;7,725878;0,0007204874;7,595471
-0,007932087;7,714196;-0,00373056;7,656546
-0,01366861;7,707771;-0,009826867;7,687969
-0,0266211;7,699052;-0,01844941;7,693659
-0,04180467;7,700307;-0,03042942;7,69707
-0,04987901;7,702716;-0,0404076;7,699966
-0,05651334;7,70749;-0,04866335;7,703823
-0,06278248;7,71964;-0,05730479;7,713503
-0,06314714;7,723696;-0,06029884;7,718727
-0,06317763;7,728338;-0,06206062;7,724609
-0,05975426;7,729936;-0,06087887;7,727338
-0,05751262;7,728813;-0,05915402;7,728094
-0,05381569;7,723618;-0,05641916;7,725801
-0,04978395;7,714316;-0,05301842;7,719914
-0,0446687;7,705896;-0,0487428;7,712736
-0,0395356;7,702892;-0,04402824;7,707695
-0,0338472;7,701056;-0,03780265;7,703636
-0,02848998;7,701134;-0,03303453;7,702355
-0,02248949;7,70432;-0,02658676;7,703557
-0,01881971;7,709229;-0,0226097;7,706461
-0,01528678;7,714143;-0,0181313;7,711159
-0,01369823;7,718542;-0,01541994;7,715675
-0,01358095;7,7267;-0,01447816;7,721321
-0,01432582;7,727696;-0,01438499;7,72522
-0,01490383;7,725368;-0,01470226;7,72531
-0,01790434;7,722942;-0,01666033;7,723862
-0,02085473;7,717292;-0,01922532;7,719844
-0,02866431;7,703556;-0,02405814;7,711504
-0,03306285;7,700151;-0,02956483;7,704562
-0,04447441;7,701074;-0,0372001;7,702775
-0,04912701;7,702849;-0,04330795;7,702813
-0,05763813;7,713993;-0,05064684;7,708539
-0,05870947;7,71879;-0,0555777;7,714808
-0,05862025;7,72471;-0,05713677;7,719882
-0,05719249;7,729937;-0,05716531;7,725031
-0,05360064;7,729198;-0,05498505;7,72758
-0,05166787;7,727754;-0,05295636;7,727686
-0,04709211;7,721233;-0,04995224;7,72438
-0,04306801;7,713625;-0,04642711;7,718874
-0,03801823;7,705652;-0,04212085;7,712102
-0,03209262;7,702085;-0,03598667;7,705975
-0,01844185;7,698735;-0,02525377;7,701546
-0,01192128;7,702632;-0,01842401;7,702102
-0,006271125;7,706434;-0,01219977;7,70432
0,00446878;7,72125;-0,003657134;7,712997
0,00509961;7,723906;0,0008285097;7,718585
0,004951918;7,724358;0,002940628;7,721542
0,00446232;7,722742;0,003720106;7,722157
0,003773047;7,71915;0,003752488;7,720317
0,0011027;7,714621;0,002131809;7,716834
-0,001981395;7,707554;-0,0003836975;7,711158
-0,005796399;7,701051;-0,003155806;7,705982
-0,01067333;7,696787;-0,007004569;7,701274
-0,02262422;7,698138;-0,01655652;7,699357
-0,02933874;7,70281;-0,02437363;7,701468
-0,03774522;7,713685;-0,03121937;7,707723
-0,04043837;7,719326;-0,03593938;7,713664
-0,04152291;7,724511;-0,03879907;7,719219
-0,04246972;7,729183;-0,04067872;7,724321
-0,04219083;7,731375;-0,04160343;7,728635
-0,03855661;7,729544;-0,0397403;7,729191
-0,03637079;7,725979;-0,03767973;7,727227
-0,03244682;7,717177;-0,03500029;7,722081
-0,02728944;7,709406;-0,0310505;7,715588
-0,02134354;7,705617;-0,02607998;7,710483
-0,01512469;7,703127;-0,02047173;7,706717
-0,003686207;7,707736;-0,01187559;7,707239
0,0006675399;7,712067;-0,00420483;7,710192
0,003588618;7,716712;0,0005613398;7,71418
0,004584582;7,722044;0,003021718;7,718989
0,004036798;7,727634;0,003541688;7,723418
0,003153381;7,730556;0,003342806;7,727074
0,001659409;7,730772;0,002480661;7,728968
-0,00345522;7,724806;-0,000558503;7,726837
-0,007563058;7,7204;-0,004145458;7,723541
-0,0131228;7,714026;-0,009636265;7,717721
-0,01933974;7,706715;-0,01460544;7,712085
-0,02600676;7,70356;-0,02044523;7,707718
-0,03412478;7,702929;-0,02745203;7,705265
-0,05014145;7,708359;-0,0390732;7,70685
-0,05613851;7,71223;-0,04782154;7,709608
-0,06067558;7,717703;-0,05568497;7,71456
-0,06351233;7,725313;-0,06047431;7,721139
-0,06357762;7,729937;-0,062064;7,725646
-0,06247298;7,7333;-0,06227349;7,729567
-0,05962513;7,731352;-0,06091698;7,730481
-0,05729242;7,73088;-0,05906059;7,730685
-0,05438136;7,724743;-0,05666357;7,727642
-0,04956798;7,715634;-0,05302942;7,721492
-0,03606584;7,704103;-0,04434022;7,712585
-0,02336366;7,706182;-0,03359554;7,709305
-0,0169995;7,711004;-0,02509356;7,710176
-0,01161278;7,716679;-0,01684761;7,714154
-0,007831995;7,722699;-0,01223027;7,71853
-0,006805106;7,726918;-0,009451919;7,722826
