Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,0003232816;7,654848;-0,0003161093;7,485018
0,002064724;7,643985;0,001300973;7,59299
0,001247205;7,639908;0,001273341;7,617102
0,0001313701;7,642898;0,000686752;7,630352
-0,003664241;7,666403;-0,001547336;7,648863
-0,006482472;7,68054;-0,00408065;7,665123
-0,01217424;7,672964;-0,008232521;7,669146
-0,0118356;7,663771;-0,01007916;7,666391
-0,01406007;7,642484;-0,01211923;7,65414
-0,01450258;7,636689;-0,01334075;7,645195
-0,01301069;7,640491;-0,01317161;7,642785
-0,0001083302;7,664648;-0,006477443;7,653988
0,005744759;7,67668;-0,0002139118;7,665617
0,01074505;7,677538;0,005405005;7,67173
0,01523649;7,669559;0,01044208;7,670617
0,01932622;7,655332;0,01499441;7,662785
0,01910152;7,641601;0,01709945;7,651927
0,01832961;7,637171;0,0177295;7,644369
0,01768235;7,639327;0,01770535;7,641786
0,01495265;7,649725;0,01602142;7,646643
0,01056815;7,659997;0,01322834;7,653482
0,003934008;7,674139;0,00846575;7,664067
-0,001056829;7,674115;0,003587756;7,669214
-0,004996654;7,663846;-0,0008130679;7,666462
-0,008867328;7,651985;-0,004939286;7,659045
-0,009994262;7,64597;-0,007529098;7,652346
-0,01108778;7,640093;-0,009705826;7,644851
-0,009005115;7,647232;-0,009277243;7,646307
-0,005925511;7,660871;-0,0075607;7,653766
-0,00119516;7,674905;-0,003248424;7,668087
0,006364624;7,680122;0,001673803;7,674249
0,01157279;7,678083;0,007727628;7,676594
0,01432274;7,653573;0,01110489;7,664805
0,01131221;7,639634;0,01123168;7,649412
0,008701413;7,645641;0,009684445;7,647106
0,005268141;7,660181;0,007423738;7,653799
-0,0005251605;7,674896;0,002563335;7,666698
-0,00860187;7,677748;-0,003152649;7,672355
-0,01018098;7,66351;-0,006752783;7,667824
-0,01474582;7,636852;-0,01084504;7,651967
-0,01384945;7,637597;-0,01238307;7,64461
-0,01098451;7,645481;-0,01166685;7,645056
-0,006667891;7,662683;-0,00910783;7,654079
-0,002827002;7,673623;-0,005892616;7,664084
0,001861869;7,672734;-0,00192152;7,668514
0,004589956;7,659109;0,001413026;7,663697
0,001201974;7,642415;0,001304923;7,652796
-0,0009784093;7,634645;0,0001351607;7,643497
-0,004308092;7,635386;-0,002139765;7,639344
-0,009397123;7,645465;-0,005856621;7,642479
-0,01465791;7,65588;-0,01036671;7,649346
-0,01976828;7,672323;-0,01518039;7,661111
-0,02348323;7,675009;-0,01943259;7,668229
-0,02586648;7,668621;-0,02272876;7,66843
-0,02689609;7,655375;-0,02486328;7,661743
-0,02884465;7,640091;-0,02690193;7,650656
-0,02933951;7,635883;-0,02814965;7,643094
-0,02790002;7,636903;-0,02802177;7,639923
-0,02407248;7,646297;-0,02599895;7,643188
-0,02111305;7,657698;-0,02301132;7,65206
-0,01567134;7,666991;-0,01925381;7,659703
-0,01046731;7,667031;-0,01475478;7,663455
-0,006184835;7,657956;-0,01036616;7,660639
-0,004391955;7,637351;-0,007307103;7,648715
-0,00477409;7,638056;-0,005758449;7,642198
-0,005759235;7,644915;-0,00575893;7,643859
-0,007193651;7,657468;-0,00663619;7,65218
-0,01207925;7,672291;-0,00996466;7,664478
-0,01585191;7,673006;-0,01297927;7,668845
-0,02179789;7,650784;-0,01837182;7,657801
-0,02450083;7,637739;-0,02252311;7,644213
-0,02495825;7,635924;-0,02417273;7,638597
-0,02291066;7,643111;-0,02352649;7,640909
-0,0148937;7,673858;-0,01910643;7,657779
-0,008055409;7,680813;-0,01344652;7,669576
-0,003729877;7,66293;-0,007504463;7,665512
-0,004694812;7,650054;-0,006065705;7,657596
-0,005584088;7,647648;-0,005819058;7,652502
-0,007012628;7,652839;-0,006548941;7,652708
-0,01456803;7,682886;-0,01145356;7,671165
-0,01945397;7,685628;-0,01687378;7,680964
-0,02410351;7,682225;-0,02129529;7,681736
-0,02567622;7,668359;-0,02397451;7,673555
-0,02963015;7,649567;-0,02780542;7,657307
-0,03011337;7,653179;-0,02898751;7,655193
-0,02349711;7,684459;-0,02617589;7,67018
-0,01228699;7,698759;-0,0190615;7,684819
-0,006293015;7,693123;-0,01252319;7,689071
-0,0001810295;7,664872;-0,006202374;7,676678
-0,002311924;7,658907;-0,003823277;7,665811
-0,006370342;7,683846;-0,005127614;7,675046
-0,0117309;7,694181;-0,008510359;7,684849
-0,01492158;7,692378;-0,0117938;7,688705
-0,01619121;7,681875;-0,01448296;7,684528
-0,0184563;7,656349;-0,01651784;7,670096
-0,01677179;7,659794;-0,01664789;7,66482
-0,01141414;7,670485;-0,0139666;7,667722
-0,004534419;7,686738;-0,009136342;7,67746
0,0006253354;7,700902;-0,00413713;7,689466
0,005199419;7,704595;0,0006462424;7,697217
0,008610432;7,700894;0,005517119;7,699466
0,01131088;7,686847;0,009060993;7,691747
0,008241081;7,65968;0,008641072;7,675324
0,006210755;7,657568;0,007154759;7,664465
0,002625028;7,666165;0,004835199;7,665336
-0,001398692;7,682548;0,00164167;7,674153
-0,007857199;7,691264;-0,003221503;7,682914
-0,01234737;7,69315;-0,00880232;7,689173
-0,01645963;7,668324;-0,01272282;7,678499
-0,0180689;7,653844;-0,01546085;7,665872
-0,01898645;7,650631;-0,01761673;7,656552
-0,01664667;7,657818;-0,0170235;7,657326
-0,01343229;7,672883;-0,01518516;7,66529
-0,005809737;7,694511;-0,01038369;7,680255
-0,002806945;7,691805;-0,006503537;7,68617
-7,094308E-05;7,680889;-0,003209681;7,683465
0,001542951;7,661824;-0,0007748764;7,672379
0,001272971;7,650892;0,0004775585;7,659237
-0,0001684553;7,647605;8,242301E-05;7,652122
-0,003274526;7,651218;-0,001636953;7,651659
-0,01342564;7,674091;-0,007674075;7,663147
-0,01976797;7,689282;-0,01507195;7,679134
-0,02434828;7,68694;-0,01982311;7,683132
