Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,03526124;7,668611;-0,0346444;7,53446
-0,035835;7,6549;-0,03525646;7,596376
-0,03650802;7,655057;-0,03589951;7,626526
-0,03465371;7,658033;-0,03525963;7,642709
-0,02893608;7,681644;-0,03201253;7,662702
-0,02780063;7,690897;-0,02985083;7,677173
-0,02720326;7,696296;-0,02849201;7,686988
-0,02524063;7,69025;-0,02682432;7,688661
-0,02280616;7,682298;-0,02476381;7,685398
-0,02236777;7,679563;-0,02353552;7,682407
-0,02282558;7,677602;-0,02317169;7,679945
-0,0226582;7,67695;-0,02290858;7,67841
-0,02556168;7,679169;-0,02426775;7,678799
-0,02649317;7,681802;-0,02540796;7,680337
-0,02981214;7,686619;-0,02766434;7,683556
-0,03217481;7,694036;-0,03042316;7,689966
-0,03549575;7,695013;-0,03302196;7,692552
-0,03524322;7,690737;-0,03416013;7,691622
-0,03791216;7,684348;-0,0360814;7,687897
-0,03983214;7,672399;-0,03800226;7,67996
-0,04064065;7,66462;-0,03935329;7,672105
-0,04181316;7,658609;-0,04061374;7,665189
-0,03857942;7,655015;-0,0395719;7,659978
-0,03639215;7,660907;-0,03762722;7,660546
-0,02918709;7,679419;-0,03330486;7,670211
-0,02786718;7,689174;-0,03051989;7,679924
-0,02536091;7,695793;-0,02787711;7,688053
-0,02131544;7,693507;-0,0245162;7,690846
-0,02013557;7,684838;-0,02227267;7,687769
-0,01593776;7,675559;-0,01902811;7,681515
-0,01544442;7,671055;-0,01719286;7,676158
-0,01469971;7,669769;-0,015916;7,672886
-0,01477276;7,668022;-0,01533046;7,670395
-0,01442785;7,666875;-0,01486796;7,668591
-0,01387653;7,667633;-0,01436014;7,6681
-0,01368006;7,671134;-0,01401183;7,669654
-0,01462419;7,671968;-0,0143864;7,671069
-0,0149296;7,670549;-0,0146646;7,670803
-0,01475915;7,665938;-0,01471302;7,668311
-0,01641538;7,655765;-0,01558485;7,661886
-0,01449543;7,650606;-0,01502685;7,656108
-0,01511585;7,643773;-0,01507244;7,649789
-0,01473668;7,647147;-0,01490046;7,648436
-0,00997441;7,651887;-0,0123774;7,650203
-0,006032338;7,658395;-0,008496284;7,655214
-0,005879708;7,660162;-0,007156168;7,657748
-0,003974748;7,660932;-0,005526486;7,659379
0,001063263;7,658059;-0,002151296;7,658703
0,002560705;7,644194;0,0007307243;7,649828
0,002694409;7,639603;0,001736382;7,644591
0,002879068;7,636359;0,002321655;7,640375
0,002986036;7,635212;0,002771708;7,636878
-0,0001252155;7,637572;0,001287512;7,637233
0,001088626;7,644804;0,00118566;7,64111
-0,006865854;7,649837;-0,003738562;7,646448
-0,008232841;7,648519;-0,006039782;7,647508
-0,01142001;7,643111;-0,008795736;7,645256
-0,01455716;7,632609;-0,01174666;7,638778
-0,0155788;7,626817;-0,01409012;7,631464
-0,01610401;7,621042;-0,01512138;7,626127
-0,0131798;7,632467;-0,01380627;7,630422
-0,010793;7,643588;-0,01226313;7,637164
-0,005949727;7,665527;-0,009029744;7,65169
-0,006919946;7,676394;-0,007949141;7,664343
-0,006674608;7,678316;-0,007296274;7,671501
-0,003758158;7,667364;-0,005484622;7,669383
-0,002385501;7,661912;-0,003897873;7,665557
0,002429624;7,65886;-0,000657368;7,662127
-0,003465211;7,688982;-0,003362134;7,687997
-0,008114738;7,691949;-0,005796356;7,690021
-0,01389318;7,681574;-0,009942664;7,685696
-0,01615636;7,66564;-0,01312529;7,675423
-0,01970902;7,642689;-0,01649764;7,658656
-0,02095252;7,636739;-0,01922331;7,645247
-0,02044393;7,642537;-0,01984862;7,643858
-0,01960498;7,647807;-0,01972381;7,645881
-0,01814663;7,669084;-0,01891607;7,657764
-0,01564194;7,682854;-0,01723869;7,670618
-0,01510382;7,691732;-0,01614535;7,681431
-0,01341938;7,691023;-0,01474927;7,686344
-0,01108575;7,681165;-0,01287289;7,683691
-0,008463833;7,673049;-0,0106147;7,67824
-0,007569338;7,665443;-0,009055135;7,671687
-0,008425872;7,66224;-0,008732835;7,666848
-0,007809092;7,659102;-0,008259722;7,662881
-0,007622603;7,661584;-0,007933348;7,662217
-0,009605312;7,666633;-0,008789344;7,664477
-0,01058196;7,672936;-0,009707438;7,668809
-0,01134971;7,682009;-0,01054837;7,675568
-0,01290742;7,686943;-0,01175672;7,681395
-0,01497828;7,683781;-0,01340717;7,682617
-0,01645363;7,669235;-0,01496713;7,675765
-0,01512307;7,662989;-0,01504697;7,669224
-0,01385439;7,655436;-0,01443609;7,662161
-0,01169834;7,64957;-0,01303422;7,655714
-0,01139187;7,653837;-0,01219324;7,654753
-0,008439687;7,659747;-0,01026884;7,657313
-0,006116805;7,679672;-0,008144365;7,668754
-0,003279621;7,695155;-0,005652903;7,682275
-0,002826807;7,701577;-0,004206026;7,692157
-0,001959313;7,706972;-0,003055497;7,699743
0,0007108978;7,699704;-0,001126293;7,699723
0,004442103;7,686074;0,001724454;7,692735
0,004196397;7,682127;0,002990125;7,687304
0,001104188;7,672544;0,002024613;7,679748
0,0003817795;7,670807;0,001183345;7,675169
-0,00190653;7,671883;-0,0003981144;7,673487
-0,003389231;7,674975;-0,001929739;7,674249
-0,008534218;7,695992;-0,00531023;7,685379
-0,009718685;7,696725;-0,007568108;7,69119
-0,01321379;7,695735;-0,01045915;7,693518
-0,01575422;7,679168;-0,01316998;7,686171
-0,01576805;7,663869;-0,01450013;7,674753
-0,01426292;7,656423;-0,01437868;7,665368
-0,01359519;7,649179;-0,01397746;7,657078
-0,01380729;7,646276;-0,01389029;7,651544
-0,007931075;7,653779;-0,01083693;7,652689
-0,005206354;7,667166;-0,007954662;7,6601
-0,002696081;7,694045;-0,005260936;7,677488
0,001338738;7,701791;-0,001881753;7,689932
0,003037095;7,704397;0,0006376619;7,69734
0,008493527;7,704535;0,004661337;7,701025
0,009089663;7,687427;0,006929939;7,694059
0,01050986;7,676569;0,008763893;7,685099
0,009111184;7,665162;0,008941736;7,67489
0,006345636;7,660059;0,007612204;7,667295
0,005507166;7,659341;0,006533881;7,66322
0,006523455;7,668236;0,006528542;7,665789
0,009196527;7,676265;0,007894585;7,671153
0,009881628;7,683976;0,008912332;7,677721
0,01261328;7,691139;0,01080761;7,684593
0,01408554;7,688371;0,01248613;7,686528
0,01501118;7,679585;0,01377902;7,682972
0,01363895;7,671334;0,0137073;7,677013
0,01398232;7,664218;0,01384815;7,670461
0,0139792;7,660469;0,01391529;7,665342
0,01279259;7,657147;0,01334041;7,661146
0,01318271;7,670747;0,01325963;7,666064
0,02018916;7,680915;0,01680969;7,673672
0,02634829;7,69906;0,02169679;7,68668
0,02313588;7,710799;0,02243379;7,699032
0,01843388;7,710608;0,02038553;7,70496
0,01875059;7,709816;0,01954795;7,707448
0,01803051;7,689822;0,01877082;7,698421
0,01572169;7,683547;0,01690592;7,689324
0,01047804;7,67408;0,01361413;7,681518
0,005722918;7,673134;0,009573223;7,677225
0,002645372;7,691757;0,005336491;7,686112
0,0001275498;7,710252;0,002667281;7,698482
-0,00861504;7,714819;-0,004232521;7,708473
-0,01344529;7,703567;-0,008951217;7,70596
-0,01593527;7,693502;-0,01252797;7,69958
-0,02747035;7,69769;-0,02017999;7,698613
-0,01876899;7,693732;-0,01881797;7,693901
-0,01742758;7,698977;-0,01810605;7,6965
-0,01380404;7,708535;-0,01590339;7,702662
-0,01430165;7,699603;-0,01508331;7,701096
-0,0127069;7,687644;-0,01386659;7,694209
-0,01191927;7,682243;-0,01286926;7,688081
-0,01097886;7,677386;-0,01190133;7,682605
-0,01669018;7,676323;-0,01435318;7,679389
-0,01728718;7,676459;-0,0158555;7,677888
-0,01763725;7,685399;-0,01676767;7,681733
-0,01732516;7,697154;-0,01705311;7,689629
-0,01557185;7,706413;-0,01629451;7,698225
-0,01432797;7,709198;-0,01528749;7,703844
-0,01388261;7,706164;-0,01456807;7,705032
-0,01333112;7,695298;-0,01393458;7,700047
-0,01400275;7,679928;-0,01396949;7,689744
-0,01342172;7,668944;-0,01368899;7,679093
-0,01278714;7,66137;-0,01322722;7,670018
-0,01328647;7,65791;-0,01325756;7,663816
-0,01424445;7,663114;-0,01376304;7,663456
-0,01297649;7,670998;-0,01336024;7,667318
-0,01279578;7,6943;-0,01307107;7,681141
-0,01318069;7,707062;-0,0131272;7,694415
-0,01082394;7,708072;-0,01194713;7,701412
-0,01118668;7,70682;-0,01155772;7,704181
-0,008656683;7,69426;-0,010071;7,699097
-0,00726687;7,686924;-0,008634469;7,692861
-0,00422968;7,681653;-0,006379063;7,687122
-0,003894778;7,675953;-0,005106354;7,6814
-0,003985217;7,670661;-0,004532228;7,675901
-0,006256818;7,673103;-0,005415563;7,674468
-0,005167767;7,677984;-0,005288585;7,67627
-0,01134285;7,690897;-0,008389279;7,683761
-0,01341705;7,688161;-0,01146427;7,686452
-0,01417688;7,684902;-0,01285353;7,685658
-0,0155693;7,673766;-0,01424455;7,679567
-0,01788941;7,660946;-0,01611133;7,67003
-0,0185503;7,654529;-0,01736069;7,66209
-0,01779318;7,645859;-0,0175822;7,653777
-0,01556073;7,637578;-0,01654673;7,645479
-0,01455513;7,6417;-0,01552666;7,643543
-0,0126593;7,658587;-0,0140581;7,651248
-0,007484097;7,678422;-0,0106904;7,665169
-0,00533098;7,684001;-0,007945737;7,674813
-0,003247192;7,692894;-0,00553965;7,684072
0,005323519;7,690361;2,43946E-05;7,687294
0,004525025;7,675751;0,002329495;7,681382
0,006524061;7,670897;0,00447747;7,676013
0,006255805;7,666049;0,005388183;7,67091
0,005118003;7,662848;0,005249808;7,66678
0,003844139;7,664697;0,004529958;7,665713
0,001997956;7,67047;0,003233306;7,668149
0,0003973198;7,680764;0,00178121;7,674609
-0,002698466;7,688852;-0,000512893;7,681903
-0,005617863;7,692669;-0,003127284;7,687417
-0,009613405;7,691312;-0,006448734;7,689411
-0,01003988;7,682595;-0,008288007;7,68592
-0,01147506;7,668387;-0,009920316;7,67694
-0,007484038;7,665405;-0,008672458;7,671032
-0,0101112;7,65999;-0,009409347;7,665377
-0,01010721;7,664663;-0,009766779;7,665011
-0,003462465;7,687486;-0,005910835;7,678757
0,001064006;7,710455;-0,001644315;7,698147
-0,0003807977;7,709679;-0,000997082;7,704054
0,001050857;7,715231;5,213846E-05;7,70978
0,002553802;7,667651;0,002153521;7,674392
0,006805597;7,673167;0,004999235;7,673643
0,004078566;7,690465;0,00452773;7,682258
-0,0001403029;7,702613;0,002136839;7,692684
-0,0070874;7,698974;-0,002587388;7,695905
-0,008589347;7,697598;-0,006258319;7,696941
-0,01258251;7,680207;-0,009497189;7,688371
-0,01308331;7,664138;-0,01133392;7,675959
-0,01023451;7,659471;-0,01066141;7,665873
-0,01202793;7,646628;-0,01136131;7,656016
-0,0101544;7,656608;-0,0106231;7,656378
-0,003493133;7,681842;-0,00697189;7,669418
-0,0002787846;7,70512;-0,003543256;7,687707
-0,001966438;7,71177;-0,002578735;7,702426
-0,001625908;7,71031;-0,002090543;7,706465
0,003347676;7,710684;0,0006947033;7,708626
0,003253999;7,69475;0,002005471;7,701519
0,003349253;7,688217;0,002827335;7,693383
0,006569627;7,69008;0,004744021;7,691691
