Posicion X;Posicion Y;Posicion X f; Posicion Y f
0,01717448;7,634621;0,01677476;7,456934
0,01528883;7,613996;0,01586285;7,553323
0,01343537;7,602693;0,0146148;7,578706
0,01533836;7,611549;0,01498662;7,595583
0,01871943;7,625604;0,01727426;7,613982
0,02159271;7,647485;0,01949045;7,631176
0,02584397;7,665498;0,02275115;7,64879
0,02699311;7,655198;0,02492819;7,652079
0,02811516;7,634714;0,0265622;7,643176
0,02763264;7,617846;0,02711099;7,63019
0,02543196;7,612113;0,02625046;7,620925
0,02260044;7,622605;0,02437993;7,621786
0,01870435;7,638624;0,02090743;7,632088
0,01483907;7,653885;0,01779807;7,643257
0,01184123;7,664011;0,01474457;7,653896
0,009618749;7,664951;0,01211796;7,659561
0,00777716;7,653893;0,009894393;7,656658
0,006823817;7,641214;0,008320824;7,648743
0,003968469;7,610505;0,006092111;7,629163
0,002815663;7,592389;0,004413729;7,610325
0,002544618;7,592174;0,003456077;7,601025
0,005401267;7,600797;0,004452283;7,600908
0,01000843;7,617658;0,007297629;7,609486
0,01256208;7,634626;0,00999382;7,622361
0,01670345;7,650922;0,01343254;7,636999
0,01820698;7,658675;0,01587838;7,648103
0,02075237;7,656138;0,0183745;7,652218
0,02355446;7,644647;0,021027;7,648341
0,02504534;7,628924;0,02308515;7,638396
0,02466979;7,610847;0,02389653;7,62429
0,0241634;7,601603;0,02403317;7,612674
0,0237213;7,605484;0,02387339;7,60899
0,02224823;7,616794;0,02304107;7,612987
0,01996648;7,635026;0,02146684;7,624271
0,01677484;7,655239;0,01906426;7,640129
0,01442088;7,671392;0,01668569;7,656143
0,01248168;7,676051;0,01453245;7,666339
0,01179433;7,66989;0,01312994;7,668158
0,01133881;7,656063;0,0122125;7,661963
0,0111178;7,630907;0,01154313;7,642973
0,0102576;7,615764;0,01088477;7,629038
0,01035428;7,616009;0,01061313;7,622366
0,01367224;7,627125;0,01217959;7,624803
0,01537973;7,63835;0,01381827;7,63174
0,02274084;7,68072;0,01838913;7,656831
0,02529758;7,68597;0,02192914;7,671762
