Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,0470245;7,582383;-0,04602799;7,421703
-0,04363686;7,593046;-0,0445607;7,526845
-0,04037727;7,606783;-0,04240983;7,567945
-0,03169175;7,643227;-0,03690115;7,606637
-0,02595336;7,656542;-0,03127663;7,632276
-0,020484;7,66041;-0,02466309;7,649516
-0,01332437;7,645074;-0,01884121;7,647235
-0,009002735;7,628561;-0,01379442;7,637656
-0,006753036;7,612491;-0,01018083;7,624741
-0,007044529;7,602586;-0,008573112;7,613384
-0,009148519;7,597168;-0,008868065;7,605072
-0,01546304;7,613791;-0,01224782;7,60954
-0,02189825;7,63192;-0,01719264;7,621008
-0,02817697;7,650947;-0,0228195;7,636344
-0,03399017;7,664;-0,02854398;7,650517
-0,04042177;7,670594;-0,03463079;7,660805
-0,04636087;7,671168;-0,04064023;7,666114
-0,05182858;7,661685;-0,04637057;7,663846
-0,05573196;7,646037;-0,05209624;7,652954
-0,0632565;7,627901;-0,05781068;7,640126
-0,06537378;7,614275;-0,0616825;7,626892
-0,06539801;7,606493;-0,06395452;7,614418
-0,06593573;7,613228;-0,06529617;7,613612
-0,06452723;7,623511;-0,06503139;7,617021
-0,06263088;7,64659;-0,06340545;7,637049
-0,05828765;7,66518;-0,06078445;7,651455
-0,05233948;7,678311;-0,05645799;7,665214
-0,0477257;7,683312;-0,05111682;7,676284
-0,04134554;7,672222;-0,04449702;7,673532
-0,03921076;7,655639;-0,04178952;7,664368
-0,03699445;7,621869;-0,0393334;7,642599
-0,03609409;7,60978;-0,03767426;7,62579
-0,03583121;7,608235;-0,03673006;7,616796
-0,03787455;7,628899;-0,03731622;7,622995
-0,0419272;7,654083;-0,04013686;7,642012
-0,04437296;7,670643;-0,04230675;7,656678
-0,04651502;7,680067;-0,0444622;7,668658
-0,05372716;7,675471;-0,04921052;7,67215
-0,05497491;7,662568;-0,05216293;7,667242
-0,05632528;7,641066;-0,05429574;7,65383
-0,05563698;7,625625;-0,0549828;7,639381
-0,05307638;7,613385;-0,05400587;7,62606
-0,05057775;7,609674;-0,05224957;7,617665
-0,04485364;7,619483;-0,04772546;7,618777
-0,03179529;7,652929;-0,03956707;7,636268
-0,02118998;7,667221;-0,03015338;7,652123
-0,01125526;7,68056;-0,02047136;7,666692
-0,001483931;7,681933;-0,01074256;7,674501
0,006469741;7,675119;-0,001926535;7,674818
0,01334146;7,665632;0,005893406;7,670113
0,02031551;7,647758;0,01328243;7,658659
0,02502039;7,632187;0,01929227;7,645105
0,02886771;7,613862;0,02419596;7,629105
0,02845483;7,609828;0,02637821;7,619227
0,02906984;7,619088;0,02775664;7,619156
0,02681806;7,633038;0,02727595;7,626266
0,02407294;7,656004;0,02563601;7,641491
0,02099535;7,67369;0,02325983;7,657979
0,01835008;7,6862;0,02074487;7,672435
0,01182839;7,689928;0,01528996;7,683137
0,003927614;7,682213;0,009468793;7,682664
0,001119928;7,656168;0,00519286;7,669094
-0,002119174;7,635583;0,001447589;7,651929
-0,004675718;7,618093;-0,001688915;7,634597
-0,005690375;7,606081;-0,003739461;7,619984
-0,00658;7,608917;-0,005194783;7,614314
-0,005027413;7,619996;-0,00510905;7,617225
-0,0007243106;7,632975;-0,002862112;7,625296
0,003642177;7,658819;0,0004681703;7,64246
0,008073306;7,675767;0,00436412;7,659523
0,01132475;7,684052;0,007930527;7,672091
0,01456722;7,681868;0,01133048;7,6771
0,01693042;7,675947;0,01420134;7,676509
0,01941049;7,666716;0,01686902;7,671494
0,02096502;7,642345;0,01896687;7,656565
0,02211394;7,625594;0,02057889;7,6407
0,0215822;7,611311;0,02109286;7,625645
0,01797453;7,607411;0,01949527;7,616303
0,01754433;7,618349;0,01849612;7,617351
0,01509839;7,631155;0,01675472;7,624425
0,00958483;7,663597;0,01308526;7,644473
0,006302573;7,679449;0,009611734;7,662385
0,001766535;7,689734;0,005594007;7,676391
-0,002212691;7,691461;0,001594508;7,684112
-0,006117221;7,685456;-0,002355419;7,6848
-0,01037127;7,677228;-0,006460803;7,680922
-0,0122382;7,654929;-0,009419344;7,667611
-0,01409895;7,636682;-0,01181623;7,651769
-0,01557899;7,6229;-0,01374368;7,636981
-0,01570561;7,621534;-0,01474909;7,629065
-0,006678313;7,652234;-0,01061744;7,640926
-0,002061968;7,669429;-0,006236407;7,655522
0,002714371;7,682298;-0,00165197;7,669236
0,00944371;7,685771;0,004029243;7,677702
0,01203435;7,679328;0,008128634;7,678535
0,01444338;7,671158;0,01136372;7,674756
0,02012092;7,650246;0,01584743;7,662207
0,0227842;7,634611;0,01940031;7,648073
0,02436412;7,62019;0,02194279;7,633791
0,02321112;7,610608;0,02259278;7,62191
0,0239072;7,616323;0,02326592;7,619049
0,02273853;7,628315;0,02299558;7,623799
0,02241459;7,647181;0,02269823;7,635766
0,02070574;7,666266;0,02167769;7,651388
0,01868701;7,680836;0,02014585;7,666471
0,01498541;7,685358;0,01750117;7,67615
0,01071743;7,679158;0,01402618;7,677691
