Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,04930003;7,422322;-0,0486605;7,326038
-0,04754866;7,426827;-0,04797917;7,387801
-0,04395711;7,442489;-0,04551518;7,421304
-0,04087875;7,454864;-0,04313667;7,43852
-0,03763068;7,463992;-0,04031257;7,451585
-0,03435133;7,471152;-0,03666319;7,463564
-0,03174847;7,450994;-0,03414376;7,45712
-0,02979243;7,428906;-0,03191454;7,442666
-0,02818098;7,420168;-0,03000177;7,43114
-0,02826982;7,415722;-0,02911486;7,423244
-0,0287213;7,422339;-0,02891322;7,422781
-0,03071872;7,430916;-0,02983774;7,426946
-0,03259776;7,444484;-0,03125139;7,435929
-0,03556894;7,456898;-0,03346311;7,446671
-0,03822954;7,470771;-0,03590441;7,459014
-0,04152763;7,478038;-0,03878555;7,468761
-0,04503981;7,478915;-0,04198887;7,473962
-0,04901901;7,467373;-0,04559002;7,470587
-0,05337415;7,455106;-0,04957746;7,462657
-0,05613516;7,444403;-0,0529348;7,453311
-0,05776423;7,435662;-0,05540835;7,444272
-0,05907393;7,430892;-0,05728546;7,43742
-0,05979629;7,436381;-0,05857161;7,436888
-0,06159283;7,437422;-0,06011862;7,437161
-0,0615505;7,457363;-0,06085175;7,447505
-0,05912985;7,482835;-0,05996989;7,465599
-0,05190965;7,520512;-0,05584152;7,493725
-0,04795254;7,528683;-0,05180089;7,51163
-0,04413613;7,531055;-0,04787495;7,521579
-0,04254073;7,520154;-0,04514262;7,520849
-0,04115486;7,509148;-0,04270402;7,513694
-0,04016769;7,500526;-0,04140519;7,506951
-0,04066479;7,49015;-0,04095225;7,496673
-0,04019241;7,484933;-0,0405632;7,490662
-0,04093008;7,488204;-0,04075105;7,489403
-0,0443949;7,50696;-0,04261681;7,498393
-0,04833171;7,522597;-0,04554344;7,510788
-0,05118531;7,538076;-0,0484333;7,524765
-0,05505514;7,546482;-0,05182532;7,53589
-0,05967334;7,550284;-0,05584529;7,543263
-0,06538147;7,54048;-0,06073033;7,541837
-0,07226144;7,524869;-0,06663596;7,533147
-0,07412488;7,513567;-0,07047271;7,523116
-0,07477416;7,504342;-0,07267496;7,513504
-0,07551954;7,498219;-0,07413233;7,505672
-0,07476953;7,497963;-0,07445866;7,501725
-0,07345843;7,502043;-0,07394648;7,501888
