Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,02939054;7,608367;-0,02872258;7,435452
-0,02537012;7,615471;-0,02699771;7,528073
-0,01879338;7,610806;-0,0227776;7,570629
-0,01640816;7,595037;-0,01950394;7,583174
-0,01524366;7,583515;-0,01731589;7,583349
-0,01413468;7,57811;-0,01568258;7,580659
-0,01559702;7,576044;-0,01563869;7,578292
-0,01776105;7,586548;-0,0167275;7,582527
-0,01899254;7,598686;-0,01788938;7,590816
-0,02386914;7,611984;-0,02095545;7,60167
-0,02719883;7,621048;-0,02415643;7,611605
-0,03174482;7,618239;-0,02804628;7,615006
-0,03606487;7,611826;-0,03215584;7,613376
-0,03991655;7,60021;-0,03613231;7,60663
-0,0412096;7,587823;-0,03873327;7,596996
-0,04095174;7,579834;-0,03986948;7,588206
-0,03902021;7,576083;-0,03943453;7,581997
-0,0352572;7,585484;-0,03729522;7,583783
-0,03068903;7,595616;-0,03391149;7,589844
-0,02467616;7,607503;-0,02918017;7,598891
-0,01833499;7,616426;-0,02362403;7,607874
-0,01292443;7,614668;-0,01814535;7,611353
-0,008936323;7,607883;-0,01342956;7,609576
-0,006020452;7,593954;-0,008898537;7,600022
-0,005506888;7,58343;-0,00716164;7,591525
-0,005588746;7,576883;-0,006356197;7,584027
-0,007078497;7,574618;-0,006726081;7,579209
-0,008629519;7,58461;-0,007701105;7,581975
-0,01234583;7,59418;-0,01007952;7,588225
-0,01787258;7,607124;-0,01407011;7,597902
-0,02297948;7,613277;-0,01863283;7,605776
-0,02848643;7,612955;-0,02367897;7,609452
-0,0401993;7,601633;-0,03213902;7,605448
-0,04246502;7,584445;-0,03742731;7,594692
-0,04414796;7,575756;-0,04086873;7,584995
-0,04325388;7,577366;-0,04232742;7,58033
-0,04008875;7,586258;-0,04118105;7,583366
-0,03678833;7,597687;-0,03893171;7,590699
-0,02970703;7,612874;-0,03420754;7,602055
-0,02419144;7,620674;-0,02907674;7,611593
-0,01922551;7,619248;-0,02403206;7,615513
-0,01653835;7,610435;-0,02019462;7,612913
-0,01466335;7,601136;-0,01681144;7,60571
-0,01450064;7,588137;-0,01562789;7,596709
-0,01749246;7,587185;-0,01658275;7,591832
-0,02097438;7,599512;-0,0188318;7,595765
-0,02709482;7,613286;-0,02306312;7,604737
-0,03732233;7,633032;-0,03036876;7,619234
-0,04247418;7,629551;-0,03656999;7,624519
-0,04738011;7,618689;-0,0421074;7,621532
-0,05231991;7,609324;-0,04733821;7,61528
-0,05293859;7,591396;-0,0502063;7,603048
-0,05125429;7,583162;-0,05084728;7,590885
-0,04861682;7,585517;-0,04970488;7,588136
-0,0439944;7,598202;-0,0467804;7,593291
-0,03852725;7,605921;-0,04255446;7,599758
-0,02832032;7,627125;-0,03526314;7,613777
-0,02044307;7,633125;-0,02767393;7,623685
-0,01518422;7,629644;-0,02127743;7,626737
-0,01019045;7,618331;-0,01559929;7,622432
-0,006947224;7,605904;-0,01030747;7,612323
-0,005870807;7,592833;-0,008035341;7,602342
-0,006317621;7,588498;-0,007155308;7,595249
-0,009083114;7,593945;-0,008142646;7,594581
