Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,1114871;7,744938;-0,1088603;7,562457
-0,1032488;7,722849;-0,1059719;7,645016
-0,0916018;7,670662;-0,09858204;7,658205
-0,08984909;7,662851;-0,09409355;7,660593
-0,09212023;7,667882;-0,09307975;7,664338
-0,09983585;7,692882;-0,09654873;7,678994
-0,114748;7,726162;-0,1058906;7,703206
-0,1241657;7,748077;-0,1152693;7,726234
-0,1265416;7,753972;-0,121054;7,740469
-0,1353882;7,756864;-0,1284102;7,748882
-0,1449529;7,753903;-0,1368939;7,751457
-0,1595707;7,743752;-0,1485135;7,747509
-0,1678293;7,729387;-0,1584459;7,738191
-0,1759247;7,693818;-0,1673833;7,715502
-0,1800164;7,674353;-0,1738562;7,694418
-0,1740128;7,672082;-0,1739364;7,682979
-0,1664364;7,682916;-0,1700948;7,682946
-0,1571047;7,717164;-0,163439;7,700479
-0,1392366;7,737593;-0,151045;7,719485
-0,1185711;7,751404;-0,1344071;7,735838
-0,1040986;7,759171;-0,1188793;7,747792
-0,0930711;7,763724;-0,1056552;7,755956
-0,09025068;7,769052;-0,09776189;7,762666
-0,07809546;7,74783;-0,08769117;7,755069
-0,07189995;7,713521;-0,07960293;7,733788
-0,06352031;7,67995;-0,07136352;7,706206
-0,05816107;7,666135;-0,0646012;7,685682
-0,05884597;7,673035;-0,06165351;7,679204
-0,06377127;7,7009;-0,06273823;7,690317
-0,07739763;7,726105;-0,07170144;7,712199
-0,08704442;7,744912;-0,07955854;7,728951
-0,09297464;7,749223;-0,08642647;7,739328
-0,1007237;7,754251;-0,09375568;7,746978
-0,1108702;7,756267;-0,1025207;7,751735
-0,1200808;7,738527;-0,1115148;7,74497
-0,1253846;7,715228;-0,1186208;7,729732
-0,1298712;7,688;-0,1243837;7,708355
-0,1204234;7,672791;-0,1223541;7,690129
-0,117666;7,682432;-0,119952;7,686185
-0,09774752;7,724771;-0,10858;7,705947
-0,08128949;7,740093;-0,09459907;7,72344
-0,06768712;7,750668;-0,08081183;7,737389
-0,05612154;7,748464;-0,06816348;7,743062
-0,0506615;7,749864;-0,05919702;7,746547
-0,03557989;7,708867;-0,04709797;7,727243
-0,03007851;7,67647;-0,03837872;7,701231
-0,02707863;7,668523;-0,03258961;7,684475
-0,02755627;7,676012;-0,03001057;7,680139
-0,0349232;7,706466;-0,03252735;7,693626
-0,04525623;7,726689;-0,03904787;7,710563
-0,0544628;7,744811;-0,04694347;7,728105
-0,06227352;7,748553;-0,05632021;7,740613
-0,07282191;7,750721;-0,06477341;7,74579
-0,0831122;7,756234;-0,07416762;7,75114
-0,09283922;7,741662;-0,0837321;7,746285
-0,1040876;7,714305;-0,09416296;7,729897
-0,108392;7,686681;-0,1014509;7,707763
-0,1047046;7,669521;-0,103118;7,688169
-0,102156;7,676562;-0,1026251;7,682222
-0,0945568;7,696431;-0,09849191;7,689501
-0,08239893;7,713627;-0,09024695;7,701861
-0,06696307;7,733355;-0,07600257;7,721128
-0,05476291;7,742956;-0,06300928;7,734481
-0,04564286;7,744305;-0,05411188;7,739514
-0,04151109;7,749157;-0,04640241;7,745414
-0,03202242;7,729788;-0,03760605;7,735856
-0,02314274;7,667511;-0,03019504;7,700836
-0,02169732;7,650159;-0,02584048;7,674867
-0,02170968;7,64982;-0,02372404;7,662034
-0,04033329;7,689922;-0,03223173;7,676319
-0,05061313;7,709314;-0,04164991;7,693225
-0,05846614;7,720606;-0,05026338;7,70725
-0,06984868;7,724531;-0,06029675;7,716103
-0,07936771;7,723505;-0,07006692;7,719895
-0,09024499;7,712299;-0,08040506;7,716003
-0,09586922;7,695655;-0,08832862;7,705577
-0,1051443;7,664576;-0,09694106;7,684577
-0,1058555;7,647867;-0,1023943;7,662121
-0,1041816;7,655942;-0,1033097;7,658956
-0,09747548;7,673362;-0,1003217;7,666334
-0,0903408;7,693378;-0,09520976;7,680185
-0,05767394;7,726519;-0,07598831;7,703912
-0,04850276;7,726532;-0,0573559;7,719246
-0,04083669;7,725809;-0,04889562;7,722607
-0,03157432;7,712552;-0,03830104;7,716457
-0,02705101;7,679184;-0,03254004;7,69737
