Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,02862787;7,599855;-0,02795303;7,420703
-0,02530424;7,611577;-0,02658992;7,51893
-0,01957563;7,622565;-0,02298127;7,572247
-0,01585494;7,61715;-0,01931753;7,595333
-0,01105945;7,604275;-0,01507349;7,599928
-0,006603881;7,58405;-0,01072486;7,591776
-0,005573871;7,559436;-0,008081271;7,575179
0,01039247;7,530675;0,009658218;7,532444
0,008961826;7,530732;0,009301232;7,531567
0,006760288;7,535736;0,008000129;7,533701
0,002968603;7,550437;0,005422476;7,542275
-0,003272801;7,572464;0,0009683305;7,557739
-0,007054681;7,586656;-0,003142422;7,572555
-0,01369158;7,598155;-0,008548964;7,585675
-0,01929715;7,596467;-0,01405523;7,591204
-0,02452461;7,585275;-0,0194163;7,588168
-0,02709718;7,564889;-0,02335005;7,576246
-0,03361377;7,54357;-0,02860619;7,559512
-0,03414641;7,533143;-0,03144383;7,546006
-0,03317214;7,535511;-0,03232903;7,540631
-0,03061743;7,538928;-0,03145247;7,539759
-0,02724169;7,557262;-0,02929549;7,548725
-0,01668888;7,59332;-0,02283714;7,571571
-0,0111456;7,604862;-0,01568465;7,591938
-0,007688935;7,599182;-0,0115736;7,595663
-0,005589627;7,58745;-0,008510205;7,591458
-0,001886354;7,547383;-0,005119493;7,568896
-0,00252701;7,529195;-0,003791312;7,548557
-0,003310766;7,53191;-0,003545201;7,540031
-0,004006445;7,539016;-0,003781381;7,539511
-0,007890048;7,554708;-0,005884866;7,547291
-0,01263505;7,577773;-0,009340375;7,562895
-0,01449978;7,591791;-0,0119821;7,577691
-0,01797848;7,605592;-0,01505267;7,591978
-0,02409417;7,60395;-0,01968322;7,598109
-0,0285726;7,593669;-0,02423456;7,595836
-0,03133086;7,574084;-0,02786792;7,584699
-0,03598424;7,554765;-0,03202508;7,569367
-0,03600265;7,546432;-0,03406219;7,557621
-0,03446724;7,546649;-0,03426961;7,552002
-0,03027395;7,552151;-0,03222376;7,552079
-0,0255759;7,568805;-0,02881973;7,560644
-0,01762511;7,588156;-0,02308793;7,57473
-0,01017969;7,605248;-0,0164773;7,590359
-0,003216335;7,613503;-0,009685574;7,602212
0,001110675;7,60763;-0,004142856;7,604994
0,005895311;7,592438;0,002656549;7,596489
0,007573194;7,56853;0,005174806;7,582169
0,01024613;7,55087;0,007772484;7,566136
0,01058384;7,541732;0,009212706;7,553635
