Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,04458535;7,462946;-0,04367052;7,309818
-0,05044974;7,437215;-0,0478292;7,387969
-0,05676467;7,448533;-0,05242077;7,41909
-0,06123397;7,470575;-0,05782287;7,450648
-0,06136568;7,489738;-0,05964174;7,470717
-0,05976491;7,496902;-0,05970494;7,484152
-0,05783671;7,497029;-0,05874638;7,490759
-0,05264105;7,486779;-0,05561581;7,488719
-0,05077329;7,474319;-0,05313486;7,481341
-0,04770782;7,459102;-0,05035313;7,469942
-0,04127035;7,451652;-0,0456916;7,460555
-0,03397882;7,448185;-0,03969622;7,454224
-0,02966637;7,444425;-0,03456097;7,449207
-0,02134138;7,448144;-0,02778798;7,448662
-0,01448106;7,453851;-0,020973;7,45132
-0,01015379;7,46094;-0,01543156;7,456247
-0,007626624;7,467657;-0,01143368;7,462091
-0,005322365;7,47538;-0,008302987;7,468899
-0,002974451;7,484544;-0,005572664;7,476916
-0,002154479;7,492471;-0,003481311;7,486433
-0,0008084156;7,492973;-0,001846164;7,490434
-0,0002035781;7,489748;-0,001004804;7,490083
-0,0002839824;7,484513;-0,0006355539;7,487229
-0,001127528;7,474975;-0,0008875177;7,480953
-0,002382223;7,462145;-0,001801744;7,469449
-0,006396192;7,451044;-0,004154286;7,460025
-0,009181877;7,445094;-0,006728835;7,452379
-0,01208027;7,447889;-0,009469319;7,450079
-0,01574832;7,451586;-0,01268509;7,450851
-0,01959741;7,46155;-0,01622414;7,456329
-0,02369004;7,477141;-0,02005067;7,466996
-0,02390161;7,488085;-0,02202325;7,477798
-0,02418388;7,497565;-0,02312998;7,487924
-0,02404289;7,505383;-0,02359744;7,496864
-0,02364503;7,504464;-0,02362182;7,500757
-0,02271939;7,500248;-0,02315971;7,500496
-0,02169533;7,493163;-0,02240982;7,496741
-0,02121005;7,479394;-0,02179558;7,48786
-0,01931758;7,469132;-0,02052668;7,47827
-0,01688471;7,4616;-0,0186617;7,469734
-0,01481771;7,456722;-0,01669299;7,463069
-0,01018483;7,458345;-0,01335985;7,46065
-0,006587719;7,464886;-0,009891604;7,462819
-0,003909943;7,474469;-0,00682779;7,468786
-0,002144375;7,481369;-0,004429637;7,475229
-0,001829576;7,501061;-0,003098078;7,488459
-0,002236534;7,509514;-0,00265686;7,499242
-0,003167618;7,51581;-0,002918474;7,507728
-0,004794234;7,513361;-0,003879025;7,510612
-0,007819528;7,510999;-0,005897259;7,51081
-0,01019086;7,507872;-0,008097413;7,509305
-0,01419148;7,497274;-0,01121706;7,503146
-0,01876052;7,485342;-0,01508148;7,494025
-0,02341421;7,477089;-0,01934945;7,485351
-0,02903751;7,472739;-0,02431252;7,47889
-0,03387296;7,468805;-0,0292101;7,473723
-0,03861018;7,472234;-0,03402607;7,47296
-0,04410942;7,476385;-0,03919137;7,474714
-0,04805515;7,484282;-0,04373148;7,479615
-0,05038615;7,493996;-0,04780221;7,488412
-0,05254028;7,503981;-0,05022896;7,496387
-0,05285288;7,513421;-0,0515729;7,505111
-0,05335239;7,520652;-0,05248443;7,513072
-0,05374565;7,52012;-0,0532558;7,517383
-0,05437304;7,515277;-0,05382789;7,516304
-0,05497641;7,510514;-0,05453023;7,512764
-0,05571335;7,496367;-0,05513585;7,50437
-0,05526888;7,48256;-0,05520399;7,493198
-0,05327363;7,470927;-0,0542155;7,481793
-0,04403475;7,465951;-0,04900378;7,473683
-0,03952175;7,469017;-0,04414596;7,471292
-0,0370734;7,477305;-0,04052541;7,47437
-0,03400945;7,484657;-0,0371888;7,479638
-0,03201928;7,490126;-0,0345418;7,485008
-0,02945094;7,498687;-0,03193464;7,492013
-0,02844025;7,505533;-0,03014514;7,498937
-0,02890882;7,511427;-0,02951211;7,505332
-0,03002948;7,508966;-0,02977705;7,507194
-0,03258994;7,506975;-0,0312176;7,507082
-0,03536595;7,500352;-0,03334359;7,503633
-0,03785761;7,492268;-0,03565395;7,497816
-0,04206746;7,48255;-0,03893881;7,489997
-0,04622922;7,472022;-0,04267343;7,480789
-0,05025859;7,467144;-0,04655887;7,473799
-0,05570836;7,461523;-0,05124464;7,467512
-0,05900927;7,461683;-0,05522059;7,464527
-0,06424169;7,464909;-0,05984174;7,464723
-0,06732624;7,470649;-0,06367523;7,467758
-0,07034129;7,478274;-0,06708983;7,473145
-0,07160956;7,48756;-0,06985484;7,481964
-0,07191577;7,510503;-0,07111551;7,499421
-0,07236924;7,503262;-0,07188234;7,50177
-0,07023403;7,49414;-0,07076584;7,496602
-0,07097908;7,480844;-0,07089625;7,486965
-0,06697371;7,455678;-0,06823923;7,465772
-0,05637303;7,453551;-0,06020106;7,457493
-0,05093215;7,457259;-0,05392167;7,457335
-0,04182891;7,480565;-0,04652528;7,471543
-0,04026858;7,495003;-0,04269841;7,485892
-0,0409923;7,498669;-0,0418247;7,492435
-0,04243591;7,496635;-0,04213771;7,494586
-0,04438356;7,490819;-0,04365897;7,492034
-0,04555983;7,481418;-0,04482152;7,485541
-0,05079079;7,471159;-0,04847183;7,476746
-0,05775133;7,45514;-0,05322351;7,465683
-0,06521935;7,456641;-0,05936842;7,461051
-0,06890369;7,461374;-0,06582728;7,46127
-0,07125947;7,470763;-0,06914951;7,467076
-0,07344749;7,491189;-0,07177816;7,481823
-0,07133067;7,507819;-0,07154895;7,495139
-0,06986719;7,51174;-0,07052024;7,505293
-0,06709155;7,502278;-0,0687644;7,503749
-0,06531324;7,489721;-0,06699709;7,496565
-0,06285052;7,477079;-0,06487346;7,486586
-0,05809479;7,466996;-0,06140177;7,476553
-0,05253631;7,461821;-0,05686105;7,469007
-0,04807382;7,458163;-0,05236072;7,463453
-0,04452227;7,461738;-0,04834478;7,462574
-0,03878718;7,465342;-0,04344882;7,463992
-0,0348447;7,474113;-0,03904295;7,469175
-0,03134565;7,481264;-0,03510111;7,475366
-0,02981285;7,489563;-0,03239192;7,482639
-0,02868075;7,497678;-0,03049155;7,49034
-0,02818197;7,505239;-0,02930868;7,497971
-0,02842358;7,506954;-0,02885533;7,502572
-0,02976603;7,503942;-0,02941228;7,50341
-0,03151643;7,501004;-0,03048972;7,502178
-0,03302088;7,491951;-0,03178592;7,496941
-0,03824991;7,473022;-0,03509619;7,484692
-0,04111987;7,466742;-0,03878013;7,473714
-0,04482803;7,46125;-0,04187761;7,46733
-0,04743883;7,462097;-0,04472557;7,464651
-0,05058786;7,466663;-0,0483109;7,465881
-0,05277259;7,472157;-0,05059599;7,469095
-0,05417215;7,480573;-0,05242757;7,474974
-0,05471589;7,500211;-0,05359943;7,487898
-0,05410043;7,509034;-0,05385604;7,498724
-0,05326331;7,513988;-0,05355234;7,506545
-0,05356624;7,511358;-0,05355946;7,50901
-0,05276829;7,506552;-0,05315422;7,507751
-0,0515489;7,494916;-0,05233205;7,501178
-0,05079824;7,482025;-0,05154638;7,491367
-0,04773774;7,470015;-0,04959648;7,480435
-0,04500789;7,463851;-0,04724569;7,471939
-0,03997837;7,46015;-0,04352321;7,4659
-0,03461917;7,459995;-0,03896247;7,462876
-0,02934267;7,46301;-0,03403577;7,462945
-0,02628741;7,472419;-0,03006614;7,467798
-0,02286947;7,477931;-0,02638053;7,472987
-0,01934709;7,485332;-0,02277783;7,479311
-0,01934709;7,485332;-0,02102042;7,482395
-0,01809295;7,498562;-0,01952107;7,490675
-0,01810533;7,503969;-0,01879353;7,497507
-0,01889357;7,500611;-0,01884476;7,499096
-0,0196649;7,497241;-0,01926487;7,498146
-0,02112331;7,490515;-0,02021634;7,494239
-0,02364629;7,480987;-0,02231305;7,486138
-0,02637437;7,469716;-0,02439325;7,477726
-0,03052983;7,46087;-0,02814515;7,46742
-0,03839708;7,452327;-0,03339418;7,459692
-0,041487;7,456958;-0,03753797;7,458292
-0,04606383;7,460897;-0,04275252;7,459886
-0,04941444;7,469292;-0,04726483;7,466257
-0,05089149;7,478912;-0,04972079;7,474827
-0,05161082;7,498749;-0,05100101;7,491031
-0,04904566;7,504969;-0,05;7,498166
-0,04578298;7,486446;-0,04742143;7,491
-0,04244325;7,473888;-0,04404984;7,479411
-0,03846831;7,465757;-0,0402695;7,470163
-0,02873083;7,462588;-0,03321415;7,465531
-0,01728824;7,477648;-0,02242069;7,473743
-0,01376759;7,496615;-0,01798887;7,485457
-0,01322621;7,504011;-0,01554992;7,494959
-0,01325931;7,509736;-0,01437667;7,502528
-0,0138163;7,506397;-0,01408962;7,504509
-0,01526239;7,502611;-0,01469024;7,503537
-0,01628513;7,495223;-0,01550703;7,499279
-0,01790885;7,485555;-0,01673709;7,49225
-0,02237517;7,474787;-0,01962441;7,483307
-0,02618092;7,466672;-0,02363386;7,473135
-0,03046239;7,46231;-0,02713081;7,467591
-0,03863237;7,464308;-0,03302182;7,465909
-0,04325636;7,468764;-0,03826441;7,467372
