Posicion X;Posicion Y;Posicion X f; Posicion Y f
-0,06679538;7,680148;-0,06539411;7,519029
-0,07265107;7,678123;-0,06912865;7,600901
-0,07839979;7,678385;-0,07389596;7,640744
-0,08252315;7,681368;-0,07833446;7,661644
-0,08565664;7,685763;-0,08209649;7,674036
-0,08788829;7,689619;-0,08507465;7,682049
-0,08789736;7,694736;-0,08652391;7,688563
-0,08756486;7,701135;-0,0871617;7,696266
-0,08590119;7,704843;-0,08651517;7,700665
-0,08153842;7,707425;-0,08346855;7,704803
-0,07771057;7,705074;-0,07994419;7,704969
-0,07425051;7,700404;-0,07702603;7,70263
-0,07049394;7,692858;-0,07367944;7,697623
-0,06631526;7,68568;-0,06990669;7,691505
-0,06118325;7,679326;-0,0654372;7,685265
-0,05595091;7,677578;-0,060578;7,681327
-0,05205761;7,680943;-0,05621254;7,681131
-0,04374721;7,689504;-0,04982746;7,68542
-0,03745132;7,693965;-0,0434889;7,689796
-0,03479802;7,700656;-0,03903607;7,69536
-0,03317048;7,707123;-0,03603193;7,701385
-0,03386705;7,711664;-0,03492287;7,706651
-0,03579943;7,713507;-0,03537179;7,710162
-0,03712269;7,714375;-0,03626859;7,71232
-0,04094914;7,711914;-0,03866569;7,712112
-0,04495912;7,708466;-0,04188915;7,710244
-0,0492745;7,704904;-0,04567084;7,70751
-0,05314847;7,697721;-0,04950092;7,702496
-0,05784884;7,691539;-0,05377892;7,696881
-0,06251191;7,687321;-0,05911884;7,691035
-0,06678453;7,68645;-0,06304435;7,688687
-0,0707315;7,687879;-0,06698146;7,688273
-0,07344723;7,692284;-0,07136057;7,690989
-0,07478063;7,696288;-0,07311214;7,693703
-0,07501443;7,701643;-0,07408644;7,697769
-0,07270785;7,705739;-0,07338041;7,70185
-0,06973776;7,708159;-0,07151525;7,705081
-0,06584589;7,705525;-0,06861155;7,705308
-0,06134314;7,700442;-0,06416692;7,702332
-0,05591731;7,692206;-0,05994202;7,697146
-0,05033976;7,683058;-0,05502463;7,689931
-0,04542522;7,674577;-0,05010808;7,682067
-0,04117392;7,669816;-0,04553232;7,675792
-0,0348292;7,668211;-0,04005015;7,671909
-0,02294145;7,669652;-0,03128729;7,670753
-0,01768875;7,672866;-0,02432097;7,671835
-0,01373236;7,676537;-0,01889788;7,674243
-0,01088714;7,682114;-0,01479431;7,678275
-0,009959843;7,685191;-0,01231807;7,681817
-0,00944424;7,687822;-0,01084604;7,684893
-0,009947034;7,686682;-0,01038565;7,685809
-0,01119621;7,684608;-0,01080077;7,685194
-0,01222454;7,681877;-0,01153026;7,683495
-0,01437082;7,675063;-0,01298507;7,679176
-0,0159737;7,667458;-0,01451549;7,673175
-0,0212274;7,660073;-0,01795353;7,666464
-0,02656509;7,654236;-0,02236434;7,660201
-0,03158661;7,651082;-0,02708858;7,655529
-0,03622369;7,651474;-0,03176797;7,653452
-0,03987861;7,654253;-0,03592211;7,653862
-0,04345446;7,657597;-0,03978051;7,655775
-0,04506616;7,659316;-0,04248775;7,657588
-0,04564288;7,666354;-0,04410378;7,662078
-0,04549766;7,670789;-0,04481761;7,666539
-0,04398795;7,673371;-0,04431026;7,670717
-0,0416346;7,673821;-0,04293994;7,672307
-0,03995281;7,670802;-0,04141011;7,671536
-0,03782189;7,665324;-0,03957301;7,668356
-0,03540388;7,659047;-0,03743839;7,66359
-0,03127814;7,643861;-0,03428408;7,653488
-0,02866773;7,637921;-0,03140797;7,645516
-0,02506615;7,634745;-0,02815819;7,639997
-0,02144329;7,634007;-0,02471795;7,636928
-0,01726117;7,634823;-0,02089769;7,63585
-0,01285056;7,637009;-0,01677533;7,636444
-0,009537473;7,639068;-0,01306858;7,637788
-0,008761432;7,646457;-0,0108628;7,642227
-0,008542412;7,653214;-0,009674635;7,647853
-0,009048262;7,657268;-0,009353879;7,652675
-0,01060238;7,658181;-0,009993251;7,655495
-0,01235894;7,65764;-0,01120466;7,656593
-0,01450782;7,654747;-0,01289715;7,655647
-0,0159276;7,649003;-0,01444882;7,652245
-0,01930576;7,641514;-0,01693575;7,64675
-0,02362252;7,635387;-0,02036004;7,640931
-0,027984;7,630813;-0,0242643;7,63575
-0,03182329;7,628587;-0,02813595;7,632081
-0,03600403;7,628964;-0,03216653;7,630485
-0,03912135;7,631021;-0,03572866;7,630759
-0,04434031;7,644799;-0,04013872;7,637949
-0,0450292;7,655188;-0,04264336;7,646778
-0,04399922;7,659334;-0,04333808;7,653211
-0,04234506;7,661378;-0,04282947;7,657394
-0,04037623;7,659747;-0,04157287;7,658599
-0,03867711;7,658215;-0,04008965;7,658402
-0,03708988;7,652691;-0,03855333;7,655478
-0,03500795;7,646999;-0,03673756;7,651135
-0,03298188;7,64131;-0,03481442;7,646104
-0,03040042;7,63702;-0,03255364;7,641451
-0,0272552;7,635603;-0,02983857;7,638454
-0,02609581;7,636534;-0,02792124;7,637471
-0,01995797;7,639209;-0,02384202;7,638361
-0,0157175;7,648818;-0,01968187;7,643715
-0,01233034;7,655622;-0,0159172;7,649813
-0,01145232;7,663281;-0,01363045;7,656711
-0,01082955;7,67058;-0,01219609;7,663814
-0,01075406;7,675192;-0,01145756;7,669641
-0,01184083;7,676966;-0,0116539;7,673394
-0,01282488;7,67642;-0,01225372;7,674944
-0,0134322;7,673251;-0,01285729;7,674077
-0,01572201;7,668756;-0,0143245;7,671352
-0,01853;7,662977;-0,01647829;7,667063
-0,02204833;7,656676;-0,01933079;7,661744
-0,0260434;7,651518;-0,02276839;7,656507
-0,02922207;7,649187;-0,02671554;7,65203
-0,03284308;7,649499;-0,02985439;7,650733
-0,03583386;7,65205;-0,03291687;7,651408
-0,03871015;7,658645;-0,03588368;7,655114
-0,03997559;7,664769;-0,03797932;7,660058
-0,04029162;7,67031;-0,03916391;7,66531
-0,03952328;7,675292;-0,03934792;7,670421
-0,0372923;7,678344;-0,03829565;7,674477
-0,03536921;7,680064;-0,03679696;7,677338
-0,03255045;7,679205;-0,03462205;7,678294
-0,03091341;7,675045;-0,03272275;7,67663
-0,02915809;7,670366;-0,030888;7,673406
-0,02730023;7,66444;-0,02905503;7,668826
-0,02549155;7,658999;-0,02723238;7,6638
-0,02356424;7,653157;-0,02535407;7,65835
-0,02073657;7,649954;-0,02298713;7,654046
-0,01952248;7,648468;-0,02121417;7,651191
-0,01806266;7,648444;-0,01959995;7,649784
-0,01463153;7,650022;-0,01705652;7,649906
-0,01188644;7,656168;-0,01440896;7,653112
-0,01013191;7,670501;-0,01221943;7,662014
-0,01157688;7,674889;-0,01189036;7,668608
-0,01374326;7,677798;-0,0128394;7,673315
-0,01620153;7,678896;-0,01456065;7,676172
-0,01861982;7,676151;-0,01663876;7,676161
-0,02305853;7,672375;-0,01992483;7,674223
-0,027382;7,665123;-0,02374336;7,669563
-0,03190537;7,657058;-0,0279229;7,663159
-0,03674201;7,650605;-0,03243911;7,656731
-0,0419617;7,646;-0,03731779;7,651233
-0,04807597;7,643211;-0,0428245;7,647127
-0,05296027;7,642675;-0,04801572;7,644847
-0,05754114;7,64362;-0,05291244;7,644216
-0,06093854;7,649487;-0,05701531;7,64691
-0,06319227;7,654364;-0,0601804;7,65073
-0,06447044;7,66197;-0,06237939;7,656491
-0,06309578;7,66805;-0,06274659;7,662416
-0,0614109;7,672181;-0,06206284;7,667415
-0,05747045;7,673003;-0,05971076;7,670277
-0,05397597;7,671552;-0,05677308;7,67093
-0,05021782;7,667041;-0,05276448;7,668552
-0,04661532;7,660179;-0,0496147;7,664263
-0,04371325;7,653296;-0,04659268;7,658647
-0,0408925;7,647443;-0,0436736;7,652909
-0,03700621;7,645098;-0,04025858;7,648908
-0,03287309;7,645193;-0,03647684;7,647006
-0,02846441;7,647774;-0,03237384;7,647399
-0,02423539;7,652596;-0,02820547;7,650061
-0,02141343;7,656861;-0,02472783;7,653543
-0,02017529;7,665882;-0,02239637;7,659862
-0,01966855;7,671371;-0,02099964;7,665755
-0,02042588;7,674583;-0,02070588;7,670275
-0,02175563;7,676762;-0,02124395;7,6736
